"Thudpucker, Jimmy"
"Clarck, Michael"
"Boylan, Terence "
"Dal Bello, Lisa "
"Kisugi, Takao "
"Peck, Danny "
"Ross, Diana"
"Scaggs, Boz"
"Tan Tan"
"Toto"
"Wells, Cory"
"Streisand, Barbra "
"Steve T."
"Soundtrack"
"Sharretts, The"
"Sayer, Leo"
"Sager, Carol Bayer "
"Reddy, Helen "
"Pockets"
"Omura, Kenji "
"Nolan, Kenny "
"Newton-John, Olivia "
"Newton, Juice "
"McClusky, David "
"Mathis, J. & Deniece Williams "
"Lynn, Cheryl "
"Ladd, Cheryl "
"Kiss"
"Jordan, Marc "
"Jabara, Paul "
"Hodges, James & Smith "
"Hall & Oates"
"Gardestad, Ted "
"Fuller, Craig & Eric Kaz "
"Donohue, Dane "
"Criss, Pete "
"Cooper, Alice"
"Cliff, Jimmy "
"Champlin, Bill"
"Carter, Valerie "
"Cadd, Brian "
"Wright, Gary "
"Wood, Lauren"
"Wilson Brothers "
"Williams, Deniece "
"Trooper"
"Tanner, Marc "
"Sands, Evie "
"Ritenour, Lee"
"Patton, Robbie "
"Noguchi, Goro "
"Mitchell, Adam "
"McIan, Peter "
"Mayall, John "
"Mason, Harvey "
"Manhatten Transfer, The "
"Kunkel, Leah "
"Kipner, Steve "
"John, Elton"
"Goffin, Louise "
"Gil, Gilberto "
"Evans, Linda "
"England, Dan & J.F. Coley "
"Edelman, Randy "
"Eaton, Steve "
"Earth, Wind & Fire "
"Dee, Kiki "
"Currie, Cherie & Marie "
"Cher"
"Cheap Trick"
"Cerrone"
"Brooklyn Dreams "
"Bishop & Gwinn "
"Tosti, Blaise"
"Triumvirat"
"Tavares"
"Taupin, Bernie"
"Takeuchi, Mariya "
"Syreeta"
"Summer, Donna"
"St. Nicklaus, Dick "
"Seals, Dan"
"Sciuto, Tony "
"Okumoto, Ryo"
"Nash, Graham "
"MacGregor, Mary "
"Kennedy, Ray"
"Hamada, Shogo "
"Grimaldi & Zeiher "
"Franklin, Aretha "
"Farina, Sandy "
"Desario, Teri "
"Carmen, Eric "
"Berger, Michael "
"Austin, Patti "
"America"
"Allen, Peter "
"Airplay"
"Kane, Madleen"
"Sugano, Anri "
"Soundtrack (Jerry Goldsmith)"
"Sorrenti, Alan"
"Russell, Brenda "
"Preston, Billy "
"Pages"
"Ozaki, Ami "
"Nitty Gritty Dirt Band "
"Matsui, Kazu "
"Marian"
"Leslie, Kelly & John Ford Coley "
"Lake, Gregg"
"Kobayashi, Katsumi "
"Jürgens, Udo "
"Jones, Rickie Lee "
"Jones, Quincy "
"Jarreau, Al"
"Frampton, Peter "
"Forsey, Keith "
"Essex, David"
"Dore, Charlie "
"Dash, Sarah "
"Cummings, Burton "
"Crawford, Randy "
"Claudia"
"Char"
"Cetera, Peter "
"Byrne & Barnes "
"Brothers Johnson, The "
"Bertucci, Anne "
"Benson, George "
"Alpert, Herb"
"Zevon, Warren "
"Young, Jesse Colin "
"Yazawa, Eikichi "
"Woods, Stevie"
"Williams, Joseph "
"Webb, Jimmy "
"Watts, Ernie "
"Warwick, Dionne "
"Ware, Leon"
"Tubes, The"
"Stevens, Jon"
"Simmons, Richard "
"Sedaka, Dara "
"Roberts, David "
"Night Plane "
"Mizukoshi, Keiko "
"Mitchell, Joni "
"McDonald, Michael "
"Mathieson, Greg Project "
"Mars, Steve"
"Manchester, Melissa "
"Loggins, Kenny "
"LaBounty, Bill "
"Kerr, Richard "
"Katsuragi, Yuki "
"Jans, Tom"
"Jackson, Michael"
"Imperials, The"
"Henley, Don "
"Hancock, Herbie "
"Ford, Dwayne "
"Chicago"
"Caldwell, Bobby "
"Bugatti & Musker "
"Branigan, Laura "
"Benson, Gary "
"Bade, Lisa "
"Alessi Brothers "
"Lee, Rita"
"Walsh, Brock "
"Tutone, Tommy "
"Soundtrack (James Horner)"
"Rogers, Kenny "
"Richie, Lionel "
"Nielsen-Pearson "
"Nicks, Stevie "
"Newman, Randy"
"Longfellow, Barron "
"Karizma"
"i-Ten"
"Holland, Amy"
"Henderson, Finis "
"Eye to Eye"
"Cross, Christopher "
"Cocciante, Ricardo "
"Carnes, Kim"
"Anka, Paul"
"Waybill, Fee "
"Various artists "
"Schmit, Thimothy B."
"Mirage"
"McCartney, Paul "
"Khan, Chaka "
"Kennedy, Joyce "
"Jacksons"
"Iwasaki, Hiromi "
"Gruska, Jay"
"Easton, Sheena "
"Crane, Stephan "
"Cocker, Joe"
"Champaign"
"Blake, Karen "
"Stealin' Horses "
"Martin, Eric"
"Lords of the new church "
"Kawai, Naoko "
"Far Corporation"
"Dees, Rick & the cast of idiots "
"Clapton, Eric "
"Atkins, Chet "
"Santana, Beck & Lukather "
"Raymond, Brett "
"Lover Speaks, The"
"Jackson, Jermaine "
"Diamond, Neil "
"Browne, Jackson"
"Weckl, Dave "
"Watson, Helen"
"Milsap, Ronnie "
"Larsen, Neil "
"Grass Roots, The "
"Feehan, Tim"
"Scaggs, Boz "
"Think out loud"
"Rankin, Kenny"
"Pasquale, Joe "
"L.A. Workshop "
"Garfunkel, Art"
"Anderson, Jon"
"Lukather, Steve"
"Los Lobotomys"
"Werner, Pé"
"Weisberg, Tim"
"Sugiyama, Kiyotaka"
"Soundtrack (Alan Silvestri)"
"Sloppy Seconds "
"Saunders, Fernando "
"Saraya"
"Rodgers, Michael "
"Megu"
"Marx, Richard"
"Kawauchi, Junichi "
"Jones, Booker T."
"Harnen, Jimmy "
"Guitar workshop "
"Falk, Dieter"
"Crosby, David "
"Clemons, Clarence "
"Choir, Yves "
"Carlisle, Belinda"
"Bridge 2 Far "
"Bolton, Michael "
"Bishop, Steven "
"Beck, Robin"
"Schascle"
"Wilson Phillips "
"Landau, Michael"
"Hungate, David"
"Horn, Jim"
"Grimaldi, Bernard "
"Garfield, David & Friends "
"Frankfurter Rock Orchestra "
"Foster, David"
"Cotton, Paul"
"Asia"
"Anderson, Michael"
"Alston, Gerald "
"Zappa, Dweezil"
"Van Halen"
"Stewart, Rod"
"Seger, Bob"
"Richman, Jeff "
"Peeples, Nia"
"O'Kane, John "
"Middler, Bette "
"Kawauchi, Junichi"
"Ingram, James "
"Hamada, Mari"
"Goodrum, Randy"
"Gianco, Ricky E. "
"DeFrancesco, Joey"
"Crusaders, The "
"Child, Desmond "
"Carter, Raymone"
"3rd Nation "
"Yemoto, The "
"Waters, Roger"
"Watanabe, Misato "
"Spinal Tap"
"Schultz, Ben "
"Powell, Cozy "
"Parton, Dolly "
"Nakajima, Fumiaki "
"L.A. Blues Authority"
"Howell, Kurt"
"Himuro, Kyosuke "
"Hadley, Tony"
"Fields, Brandon"
"Bissonette, Gregg "
"Webb, Jimmy"
"Gorky Park"
"dB's, The "
"Wetton, John"
"Hausmylly "
"Clooney, Rosemary "
"Beacco, Marc "
"Tesh, The John Project "
"Sherwood Ball 'n Chain "
"Randolph, Joyce "
"Kleptomania"
"Houston, Whitney "
"Di Bart, Tony"
"Coryell, Larry "
"Waybill, Fee"
"Tamas"
"Meat Loaf"
"Lil' Kim "
"Jackopierce "
"Graydon, Jay/Rake & Surftones "
"Andreas, Teddy "
"Man Doki"
"Lavezzi, Mario "
"Kassav"
"Jackson, Michael "
"Breaux, Zachary "
"Torpey, Pat "
"Terrana, Mike "
"Gurtu, Trilok "
"Gebhard, Nicky & Gee Fresh "
"Be Five, The "
"Wolf, Peter"
"Walker, Gary "
"Turtles, The "
"Klimas, Larry"
"Fabian, Lara"
"Dante, Ron"
"Wilson, Nanvy"
"Wehipeihana Project, Lynda "
"Tube"
"Tolle Project, Christian "
"Okui, Masami "
"Niacin"
"Lukather, Steve & Larry Carlton"
"Wilson, Jim"
"Sherinian, Derek"
"Shankar & Gingger "
"Sanchez, Roger"
"Iijima, Mari"
"DiMaggio, Robin"
"Crowell, Rodney"
"Rundgren, Todd"
"Love Solution"
"Lee, Tommy"
"Gregorian"
"Gore, Jacky"
"Davis, Miles"
"AOR"
"Lukather, Steve & Friends"
"Yardbirds"
"Washington, Grover"
"Tschuggnall, Michael "
"Tramp, Mike"
"Heimlicher, Matthias "
"Winter, Edgar "
"Thomas, Mickey"
"Potato Salad"
"Larson Band, Travis"
"Diggs, David"
"Budka Suflera"
"Yamamoto, Kenji"
"Lukather, Steve & El Grupo"
"Travers & Appice"
"Tolle, Christian"
"Schwarz, Siggi & the Rock Legends "
"Paul, Les & Friends "
"Miles, Jay "
"Logan, Oni "
"Osmond, Donny & Marie "
"Soussan, Phil "
"Rodgers, Dave "
"Jones, Ronnie"
"Levin, Tony "
"Fowler, Bernard "
"Mendoza, Marco "
"U-nam"
"Vinylworxx"
"Culbertson, Brian "
"King of Balance "
"Cuesta Voce "
"Borghi, Simone "
"Stereoboys"
"Noy, Oz"
"Man Doki Soulmates"
"Mandoki Soulmates"
"Lukather, Steve & Edgar Winter"
"Kulick, Bruce"
"Miguel, Luis"
"Ritenour. Lee"
"Nelson"
"West, Leslie"
"Weingart, Steve & Renee Jones"
"Schwarz, Siggi & Friends"
"Grand Illusion"
"Pushkin"
"Felder, Don"
"Shearer, Harry "
"Bolin, Tommy & Friends"
"Evans, Bill"
"Lee, Will"
"Pomeranz, David"
"De Rosso, Alex"
"Condor, Thierry"
"Varady, Andreas"
"Culbertson, Brian"
"Various artists"
"Starr, Ringo"
"Chiklis, Michael"
"Porcaro, Steve"
